Title,Publication link,Author,publication Date
Deep Learning Based Forecasting of COVID-19 Hospitalisation in England: A Comparative Analysis,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-forecasting-of-covid-19-hospitalisation-in-en,"[{'name': 'Michael Ajao-olarinoye', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Fei He', 'link': 'https://pureportal.coventry.ac.uk/en/persons/fei-he'}, {'name': 'Petra A Wark', 'link': 'https://pureportal.coventry.ac.uk/en/persons/petra-wark'}, {'name': 'Seyed Mousavi'}]",19 Mar 2024
Effective Natural Language Processing Algorithms for Early Alerts of Gout Flares from Chief Complaints,https://pureportal.coventry.ac.uk/en/publications/effective-natural-language-processing-algorithms-for-early-alerts,"[{'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Lucas Lopes Oliveira'}, {'name': 'Xiaorui Jiang'}, {'name': 'Aryalakshmi Nellippillipathil Babu'}, {'name': 'Poonam Karajagi'}]",10 Mar 2024
Forecasting global climate drivers using Gaussian processes and convolutional autoencoders,https://pureportal.coventry.ac.uk/en/publications/forecasting-global-climate-drivers-using-gaussian-processes-and-c,"[{'name': 'James Donnelly', 'link': 'https://pureportal.coventry.ac.uk/en/persons/james-donnelly'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Soroush Abolfathi'}]",1 Feb 2024
Integrating Machine Learning in Pedestrian Forensics: A Comprehensive Tool for Analysing Pedestrian Collisions,https://pureportal.coventry.ac.uk/en/publications/integrating-machine-learning-in-pedestrian-forensics-a-comprehens,"[{'name': 'Vadhiraj Shrinivas', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vadhiraj-shrinivas'}, {'name': 'Christophe Bastien', 'link': 'https://pureportal.coventry.ac.uk/en/persons/christophe-bastien'}, {'name': 'Huw Davies', 'link': 'https://pureportal.coventry.ac.uk/en/persons/huw-davies'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Joseph Hardwicke'}, {'name': 'Clive Edward Neal-Sturgess'}, {'name': 'Albi Lamaj'}]",9 Apr 2024
LightPRA: A Lightweight Temporal Convolutional Network for Automatic Physical Rehabilitation Exercise Assessment,https://pureportal.coventry.ac.uk/en/publications/lightpra-a-lightweight-temporal-convolutional-network-for-automat,"[{'name': 'Sara Sardari', 'link': 'https://pureportal.coventry.ac.uk/en/persons/sara-sardari'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Michael J Duncan', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}, {'name': 'Sara Sharifzadeh'}, {'name': 'Seng W Loke'}, {'name': 'Bahareh Nakisa'}]",May 2024
Locally correct confidence intervals for a binomial proportion: A new criteria for an interval estimator,https://pureportal.coventry.ac.uk/en/publications/locally-correct-confidence-intervals-for-a-binomial-proportion-a-,"[{'name': 'Maha W. Moustafa', 'link': 'https://pureportal.coventry.ac.uk/en/persons/maha-moustafa'}, {'name': 'Paul H. Garthwaite'}, {'name': 'Fadlalla G. Elfadaly'}]",Mar 2024
Machine Learning Approaches for Region-level Prescription Demand Forecasting,https://pureportal.coventry.ac.uk/en/publications/machine-learning-approaches-for-region-level-prescription-demand-,"[{'name': 'Xu Wang', 'link': 'https://pureportal.coventry.ac.uk/en/persons/xu-wang'}, {'name': 'Long Chen', 'link': 'https://pureportal.coventry.ac.uk/en/persons/long-chen'}, {'name': 'Dingchang Zheng', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}, {'name': 'Jiangtao Wang'}]",1 Mar 2024
Physics-informed neural networks as surrogate models of hydrodynamic simulators,https://pureportal.coventry.ac.uk/en/publications/physics-informed-neural-networks-as-surrogate-models-of-hydrodyna,"[{'name': 'James Donnelly', 'link': 'https://pureportal.coventry.ac.uk/en/persons/james-donnelly'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Soroush Abolfathi'}]",20 Feb 2024
Pore-scale modeling of solute transport in partially-saturated porous media,https://pureportal.coventry.ac.uk/en/publications/pore-scale-modeling-of-solute-transport-in-partially-saturated-po-2,"[{'name': 'Ali Saeibehrouzi', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ali-saeibehrouzi'}, {'name': 'Ran Holtzman', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ran-holtzman'}, {'name': 'Soroush Abolfathi'}, {'name': 'Petr Denissenko'}]",16 Jul 2024
Solute Transport in Unsaturated Porous Media with Spatially Correlated Disorder,https://pureportal.coventry.ac.uk/en/publications/solute-transport-in-unsaturated-porous-media-with-spatially-corre,"[{'name': 'Ali Saeibehrouzi', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ali-saeibehrouzi'}, {'name': 'Ran Holtzman', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ran-holtzman'}, {'name': 'Petr Denissenko'}, {'name': 'Soroush Abolfathi'}]",14 Jul 2024
