Title,Category 
"The UK's national debt has reached its highest level since 1962, according to new official figures. The total stock of government debt was worth 99.5% of the value of the economy in June, exceeding the highs reached during the coronavirus pandemic for the first time.The Office for National Statistics (ONS) figures also showed that the amount the government borrowed was more than expected in June.Borrowing refers to the difference between public sector spending and income from taxes in a given period.The Chief Secretary to the Treasury, Darren Jones, said the latest figures were a �clear reminder� of the �worst economic inheritance� since the Second World War.",Economics 
"GDP is a measure of all the economic activity of companies, governments and people in a country.In the UK, new GDP figures are published by the Office of National Statistics (ONS) every month. However, quarterly figures - covering three months at a time - are considered more important.Most economists,and businesses like to see GDP rising steadily.That's because it usually means people are spending more, extra jobs are created, more tax is paid and workers get better pay rises.When GDP is falling, it means the economy is shrinking - which can be bad news for businesses and workers.If GDP falls for two quarters in a row, that is known as a recession, which can lead to pay freezes and job losses.If GDP is going up steadily, people pay more in tax because they're earning and spending more.This means more money for the government.When the economy shrinks and a country goes into recession, these things can go into reverse.Governments tend to get less money in tax, which means they may decide to freeze or cut public spending. Or taxes may rise.",Economics 
"Competition between mortgage lenderA host of lenders have made reductions to the cost of new fixed-rate mortgages in recent days.Brokers expect further cuts to come, but mortgage rates remain much higher than homeowners became accustomed to for a decade.Lenders' funding costs have hinted at falling with the Bank forecast to cut benchmark interest rates for the first time in four years.The interest rate on a fixed mortgage does not change until the deal expires, usually after two or five years, and a new one is chosen to replace it. Doing nothing would leave people on a variable rate, which can be very expensive.A recent report by the Bank of England said that about three million households were set to see their mortgage payments rise in the next two years, including 400,000 mortgage holders who were facing some �very large"" payment increases.Renters also remained under pressure from the cost of living and higher interest rates, it said.Leading lenders have also said that housing affordability is stretched owing to high mortgage rates.Make overpayments. If you still have some time on a low fixed-rate deal, you might be able to pay more now to save later.Move to an interest-only mortgage. It can keep your monthly payments affordable although you won't be paying off the debt accrued when purchasing your house.Putting money in a savings account can build up and also earn interest to help to pay down some of the mortgage ahead of fixing a new deal.If you have an interest-only mortgage it means you are only paying the interest on the amount borrowed, and you are not paying down the size of the debt.Moving to an interest-only mortgage can keep your monthly payments affordable, says Richard Dana, chief executive of digital mortgage broker Tembo.",Economics 
"But after four years of rising prices, her support has worn thin � and every time she shops at the supermarket, she is reminded how things have changed for the worse.Ms Ellis works full-time as a nurse�s assistant and has a second part-time job.Still, Ms Ellis has sometimes turned to risky payday loans (short-term borrowing with high interest rates) as she grapples with grocery prices that have surged 25% since Mr Biden entered office in January 2021.Prior to inflation,"" she says, ""I didn't have any debt, I didn't have any credit cards, never applied for like a payday loan or any of those things. But since inflation, I needed to do all those things....I�ve had to downgrade my life completely.""At last month's presidential debate, the first question was on inflation, and Mr Biden sought to shift blame to big companies, accusing them of price gouging � a claim that is hotly disputed among economists.But despite strong job creation and low unemployment, opinion polls show voters continue to trust Mr Biden's opponent, former President Donald Trump, more on economic issues.We�re on the right track,� says Sarah Foster, who follows the economy for Bankrate.com. �Wage growth has slowed, price growth has slowed but, you know, prices are slowing at a much faster rate than wages.�",Economics 
"Labour has dropped a plan to reintroduce a cap on how much people are allowed to save into their pensions before paying tax.Under the pensions lifetime allowance, pension pots over �1.07m faced an annual tax of �40,000 on average.The Lifetime Allowance (LTA) capped the amount people could hold in their pensions tax-free.Chancellor Jeremy Hunt abolished it in March last year in an attempt to discourage older workers, particularly NHS consultants, from retiring early.However, she had promised that a Labour government would make exceptions for NHS doctors and other public servants when the cap returned.According to the most recent government data from tax returns, there were 11,660 lifetime allowance charges between 2021 and 22, a figure that has consistently increased over the last decade.Labour's decision not to bring back the cap follows lobbying from senior NHS staff and unions.Last month, the Financial Times reported that thousands of investors with large pension pots had been left in limbo due to errors in the legislation removing the LTA.�The Conservatives have botched their policy of abolishing the lifetime allowance, with thousands of people approaching retirement being left in limbo because of errors in legislation,� a Labour spokesperson said.",Economics 
"After pushing borrowing costs sharply higher in recent years to try to quell soaring prices, countries around the world are shifting gear.The European Central Bank (ECB) on Thursday announced its first interest rate cut in five years, dropping its main lending rate from an all-time high of 4% to 3.75%.ust a few years ago, central banks around the world were hiking interest rates aggressively, hoping that higher borrowing costs would weigh on the economy and ease the pressures pushing up prices.The moves were unusually synchronised, responding to global supply chain issues and shocks to food and energy markets that had sent prices leaping around the world.In the eurozone, the UK and US � economies that had not experienced inflation issues for decades � officials have been in a holding pattern, keeping rates at decades-high levels.Still the Fed, which was at the fore of the move to higher rates, has moved cautiously, reflecting concerns that progress on the issue might have stalled and that stronger-than-expected growth and major government spending might make it trickier to resolve.Such moves would bring relief to businesses and households looking to borrow.If central bankers cut rates too quickly, they risk unleashing a wave of economic activity that sends prices bubbling up again.But he said the US is unlikely to see a return to the ultra-low borrowing costs that prevailed in the decade after the financial crisis, pointing in part to big budget deficits that are likely to keep upward pressure on rates.",Economics 
"The labor market remains reassuringly steady, even as job gains cooled modestly last month. The US economy added 206,000 jobs in June, the Bureau of Labor Statistics reported July 5, a small dip from May�s tally of 215,000 jobs.The unemployment rate moved slightly higher, up 0.1 percentage points to 4.1%. That marked the first time since November 2021 that the jobless rate was above 4% and also the third consecutive month that the unemployment rate increased.While economists aren�t too concerned about the current unemployment rate, subsequent increases as we get closer to the election could raise some concern.Slowing wages could help set the stage for the Federal Reserve to begin cutting interest rates � if they also end up translating into slower inflation. Strong wage growth can put upward pressure on prices, but Fed officials have said they focus primarily on inflation gauges to know if price hikes are under control or not.Along with interest rates, inflation has also been a top financial concern for Americans throughout Biden�s term, as pandemic-era pressures on global supply chains and price gouging by retailers have pushed prices higher and higher since 2021.Inflation rates are nowhere near the pandemic-era peak reached in June 2022, when US inflation hit 9.1%, its highest annual rate in more than 40 years. As of last month, annual inflation was 3%, down from 3.3% in May, according to the Consumer Price Index.Despite the improvement, it may take time for these data points to have a palpable effect on consumer wallets, as life expenses remains overwhelmingly expensive for many who have been worn down by consistently high prices for the past three years.",Economics 
"Price rises in the US cooled in June, building hopes that the world's largest economy is moving on from the bout of high inflation that hit after the pandemic.Prices rose 3% over the 12 months to June, as lower petrol prices helped to deliver the slowest price inflation in a year, the Labor Department said.It marked the third month in a row that inflation has fallen, easing financial pressures on households and potentially clearing the way for the US central bank to cut interest rates as soon as September.The Federal Reserve's key lending rate has stood at more than 5.3%, a roughly two-decade high, since last year.Fed officials say high borrowing costs are weighing on the economy, helping to reduce the pressures pushing up prices.Analysts said the latest report could help to convince the bank that it has done enough to cure the problem.�The latest inflation numbers put us firmly on the path for a September Fed rate cut,"" said Seema Shah, chief global strategist at Principal Asset Management.The progress is welcome news for the White House, which has struggled with widespread economic dissatisfaction as the jump in living costs and interest rates squeeze households.Over the past year, petrol prices and the cost of cars and appliances have fallen, but the cost of other staples has continued to rise.Last month, the increases in rents and prices for services such as veterinary treatment cooled, noted Greg McBride, analyst for Bankrate.com�Shelter and services costs have been the long-standing and persistent trouble spots in the inflation readings but maybe the tide is starting to turn,"" he said.",Economics 
"We're very much aware that we have two-sided risks now and we're determined to balance those as best we can,"" he said. ""We want to see more good inflation data and we also want to continue to see a strong labour market.""In June, the US unemployment rate crept above 4% for the first time in more than two years.Consumer spending, which is the main driver of the US economy, has also shown signs of weakening, as rising numbers of firms warn that households are cutting back.Food giant Pepsi-Co became the latest to do so on Thursday.In a quarterly update for investors, it reported that sales in its North America Frito-Lay and Quaker Foods units had fallen in the April-June period compared with last year. Overall, revenue was up about 1% globally.",Economics 
"Global trade �is not having the best of times at the moment�.�Global trade is really part of the lifeblood for making countries resilient - and also for underpinning growth, so we are concerned about that.�In recent weeks and months these fragmentations have come to the fore with the EU imposing provisional tariffs of up to 37.4% on imports of Chinese electric vehicles (EVs). It followed after the US in May introduced 100% tariffs on Chinese EVs.oth Brussels and Washington accuse the Chinese government of unfairly subsidising its EV sector, allowing producers to export cars at unfairly low prices, and threatening jobs in the West.President Biden has also increased import taxes on a range of other Chinese products that he said formed ""the industries of the future"". These include EV batteries and the minerals they contain, the cells needed to make solar panels, and computer chips.Meanwhile, the US has been pouring billions of dollars of government money into green technology, through its Inflation Reduction Act, which aims to reduce a reliance on Chinese imports.EU trade commissioner Valdis Dombrovskis tells the BBC that Europe does not want to close the market for EVs. �We welcome imports, we welcome competition, but this competition must be fair,� he says.",Economics 
